CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment_Map,Segment,Cluster,AI_Segment
12417,3,192,3649.1,5,5,5,555,55,Champions,0,Loyal Customers
12418,113,34,668.58,2,3,3,233,23,At Risk,1,At Risk
12420,64,29,600.39,3,2,3,323,32,About To Sleep,1,At Risk
12421,16,45,807.04,4,3,3,433,43,Potential Loyalists,0,Loyal Customers
12422,96,39,803.5600000000001,2,3,3,233,23,At Risk,1,At Risk
12423,1,125,1859.31,5,5,4,554,55,Champions,0,Loyal Customers
12424,163,30,1760.96,2,3,4,234,23,At Risk,1,At Risk
12425,78,36,777.2,2,3,3,233,23,At Risk,1,At Risk
12426,195,30,582.73,1,3,3,133,13,At Risk,3,Churned (Lost)
12427,22,31,825.8,4,3,3,433,43,Potential Loyalists,0,Loyal Customers
12428,26,294,7956.46,4,5,5,455,45,Loyal Customers,0,Loyal Customers
12429,9,97,3750.4,5,4,5,545,54,Champions,0,Loyal Customers
12430,43,11,256.4,3,1,2,312,31,About To Sleep,1,At Risk
12431,36,235,6487.45,3,5,5,355,35,Loyal Customers,0,Loyal Customers
12432,43,108,5059.32,3,4,5,345,34,Loyal Customers,0,Loyal Customers
12433,1,420,13375.87,5,5,5,555,55,Champions,0,Loyal Customers
12434,85,50,806.14,2,3,3,233,23,At Risk,1,At Risk
12435,80,36,7829.89,2,3,5,235,23,At Risk,1,At Risk
12436,100,16,509.01,2,2,3,223,22,Hibernating,1,At Risk
12437,2,199,4951.41,5,5,5,555,55,Champions,0,Loyal Customers
12438,14,98,2906.85,4,4,5,445,44,Loyal Customers,0,Loyal Customers
12441,367,11,173.55,1,1,1,111,11,Hibernating,3,Churned (Lost)
12442,3,12,172.06,5,1,1,511,51,New Customers,0,Loyal Customers
12444,21,176,5005.46,4,5,5,455,45,Loyal Customers,0,Loyal Customers
12445,22,4,133.4,4,1,1,411,41,Promising,0,Loyal Customers
12446,58,57,1002.31,3,3,4,334,33,Need Attention,1,At Risk
12447,243,26,476.49,1,2,2,122,12,Hibernating,3,Churned (Lost)
12448,44,22,449.45,3,2,2,322,32,About To Sleep,1,At Risk
12449,22,191,4067.29,4,5,5,455,45,Loyal Customers,0,Loyal Customers
12450,156,8,197.88,2,1,1,211,21,Hibernating,1,At Risk
12451,11,354,9035.52,5,5,5,555,55,Champions,0,Loyal Customers
12452,17,22,430.57,4,2,2,422,42,Potential Loyalists,0,Loyal Customers
12453,134,43,707.09,2,3,3,233,23,At Risk,1,At Risk
12454,56,15,3528.34,3,2,5,325,32,About To Sleep,1,At Risk
12455,73,90,2466.86,2,4,5,245,24,At Risk,1,At Risk
12456,44,125,3181.04,3,5,5,355,35,Loyal Customers,0,Loyal Customers
12457,66,62,2363.23,3,4,5,345,34,Loyal Customers,1,At Risk
12458,71,38,947.4,3,3,4,334,33,Need Attention,1,At Risk
12461,94,35,826.88,2,3,3,233,23,At Risk,1,At Risk
12462,19,62,1189.59,4,4,4,444,44,Loyal Customers,0,Loyal Customers
12463,53,83,1344.78,3,4,4,344,34,Loyal Customers,0,Loyal Customers
12464,10,29,1212.05,5,2,4,524,52,Potential Loyalists,0,Loyal Customers
12465,17,47,742.1899999999999,4,3,3,433,43,Potential Loyalists,0,Loyal Customers
12468,188,38,729.5400000000001,1,3,3,133,13,At Risk,3,Churned (Lost)
12471,2,460,19824.05,5,5,5,555,55,Champions,0,Loyal Customers
12472,32,339,6572.11,4,5,5,455,45,Loyal Customers,0,Loyal Customers
12473,29,168,3938.55,4,5,5,455,45,Loyal Customers,0,Loyal Customers
12474,17,424,7375.79,4,5,5,455,45,Loyal Customers,0,Loyal Customers
12475,54,36,723.38,3,3,3,333,33,Need Attention,1,At Risk
12476,16,233,6816.42,4,5,5,455,45,Loyal Customers,0,Loyal Customers
12477,23,300,13219.74,4,5,5,455,45,Loyal Customers,0,Loyal Customers
12478,4,36,680.99,5,3,3,533,53,Potential Loyalists,0,Loyal Customers
12479,11,31,527.2,5,3,3,533,53,Potential Loyalists,0,Loyal Customers
12480,28,154,3281.63,4,5,5,455,45,Loyal Customers,0,Loyal Customers
12481,23,217,5596.32,4,5,5,455,45,Loyal Customers,0,Loyal Customers
12483,17,75,2484.98,4,4,5,445,44,Loyal Customers,0,Loyal Customers
12484,33,346,4541.72,4,5,5,455,45,Loyal Customers,0,Loyal Customers
12488,10,55,1298.66,5,3,4,534,53,Potential Loyalists,0,Loyal Customers
12489,336,15,334.93,1,2,2,122,12,Hibernating,3,Churned (Lost)
12490,5,245,5417.93,5,5,5,555,55,Champions,0,Loyal Customers
12491,39,26,460.4,3,2,2,322,32,About To Sleep,0,Loyal Customers
12492,63,20,263.21000000000004,3,2,2,322,32,About To Sleep,1,At Risk
12493,166,22,433.74,2,2,2,222,22,Hibernating,1,At Risk
12494,16,77,1246.1,4,4,4,444,44,Loyal Customers,0,Loyal Customers
12497,82,14,1043.1,2,1,4,214,21,Hibernating,1,At Risk
12498,21,23,403.7000000000001,4,2,2,422,42,Potential Loyalists,0,Loyal Customers
12500,23,61,4257.82,4,4,5,445,44,Loyal Customers,0,Loyal Customers
12501,337,149,2169.39,1,5,5,155,15,Can't Lose,3,Churned (Lost)
12502,96,147,3723.87,2,5,5,255,25,Can't Lose,1,At Risk
12504,18,9,482.05,4,1,2,412,41,Promising,0,Loyal Customers
12506,233,23,73.5,1,2,1,121,12,Hibernating,3,Churned (Lost)
12507,134,21,1304.81,2,2,4,224,22,Hibernating,1,At Risk
12508,26,69,398.27,4,4,2,442,44,Loyal Customers,0,Loyal Customers
12509,284,7,176.5,1,1,1,111,11,Hibernating,3,Churned (Lost)
12510,143,33,982.57,2,3,4,234,23,At Risk,1,At Risk
12512,66,34,138.03,3,3,1,331,33,Need Attention,1,At Risk
12513,113,35,612.29,2,3,3,233,23,At Risk,1,At Risk
12514,267,51,1017.68,1,3,4,134,13,At Risk,3,Churned (Lost)
12515,353,16,383.7,1,2,2,122,12,Hibernating,3,Churned (Lost)
12516,78,26,1312.06,2,2,4,224,22,Hibernating,1,At Risk
12517,28,284,2502.84,4,5,5,455,45,Loyal Customers,0,Loyal Customers
12518,1,124,2056.89,5,5,4,554,55,Champions,0,Loyal Customers
12519,64,18,340.84,3,2,2,322,32,About To Sleep,1,At Risk
12520,79,152,2634.26,2,5,5,255,25,Can't Lose,1,At Risk
12521,143,38,599.68,2,3,3,233,23,At Risk,1,At Risk
12522,39,12,192.72,3,1,1,311,31,About To Sleep,1,At Risk
12523,19,106,1789.77,4,4,4,444,44,Loyal Customers,0,Loyal Customers
12524,9,144,4485.72,5,5,5,555,55,Champions,0,Loyal Customers
12526,1,71,1316.66,5,4,4,544,54,Champions,0,Loyal Customers
12527,82,18,348.71000000000004,2,2,2,222,22,Hibernating,1,At Risk
12528,9,92,1933.48,5,4,4,544,54,Champions,0,Loyal Customers
12530,60,66,1662.28,3,4,4,344,34,Loyal Customers,1,At Risk
12531,15,17,125.22,4,2,1,421,42,Potential Loyalists,0,Loyal Customers
12532,30,16,349.83000000000004,4,2,2,422,42,Potential Loyalists,0,Loyal Customers
12534,131,63,1089.18,2,4,4,244,24,At Risk,1,At Risk
12535,92,34,716.35,2,3,3,233,23,At Risk,1,At Risk
12536,43,261,12601.830000000002,3,5,5,355,35,Loyal Customers,0,Loyal Customers
12538,29,21,363.95,4,2,2,422,42,Potential Loyalists,0,Loyal Customers
12539,22,273,5568.35,4,5,5,455,45,Loyal Customers,0,Loyal Customers
12540,20,478,13400.24,4,5,5,455,45,Loyal Customers,0,Loyal Customers
12541,30,52,981.18,4,3,4,434,43,Potential Loyalists,0,Loyal Customers
12544,36,19,372.7,3,2,2,322,32,About To Sleep,0,Loyal Customers
12545,75,50,1000.39,2,3,4,234,23,At Risk,1,At Risk
12546,47,69,1161.5,3,4,4,344,34,Loyal Customers,0,Loyal Customers
12547,198,8,207.8,1,1,1,111,11,Hibernating,3,Churned (Lost)
12548,166,5,95.2,2,1,1,211,21,Hibernating,1,At Risk
12550,79,57,964.83,2,3,4,234,23,At Risk,1,At Risk
12551,358,10,168.0,1,1,1,111,11,Hibernating,3,Churned (Lost)
12552,39,20,437.82,3,2,2,322,32,About To Sleep,0,Loyal Customers
12553,8,191,3692.28,5,5,5,555,55,Champions,0,Loyal Customers
12556,50,121,603.71,3,4,3,343,34,Loyal Customers,0,Loyal Customers
12557,16,33,11990.96,4,3,5,435,43,Potential Loyalists,0,Loyal Customers
12558,8,11,269.96,5,1,2,512,51,New Customers,0,Loyal Customers
12559,311,21,561.71,1,2,3,123,12,Hibernating,3,Churned (Lost)
12560,5,105,2134.01,5,4,5,545,54,Champions,0,Loyal Customers
12561,303,16,238.85,1,2,1,121,12,Hibernating,3,Churned (Lost)
12562,8,168,3781.74,5,5,5,555,55,Champions,0,Loyal Customers
12564,261,21,456.9,1,2,2,122,12,Hibernating,3,Churned (Lost)
12565,289,9,145.92,1,1,1,111,11,Hibernating,3,Churned (Lost)
12566,86,19,351.65,2,2,2,222,22,Hibernating,1,At Risk
12567,23,446,9401.28,4,5,5,455,45,Loyal Customers,0,Loyal Customers
12569,2,188,4124.69,5,5,5,555,55,Champions,0,Loyal Customers
12571,40,34,519.61,3,3,3,333,33,Need Attention,0,Loyal Customers
12572,9,60,1020.42,5,4,4,544,54,Champions,0,Loyal Customers
12573,227,28,160.54000000000002,1,2,1,121,12,Hibernating,3,Churned (Lost)
12574,316,11,218.45,1,1,1,111,11,Hibernating,3,Churned (Lost)
12576,36,88,1315.83,3,4,4,344,34,Loyal Customers,0,Loyal Customers
12577,35,147,657.8,3,5,3,353,35,Loyal Customers,0,Loyal Customers
12578,21,114,2794.51,4,4,5,445,44,Loyal Customers,0,Loyal Customers
12579,78,29,440.42,2,2,2,222,22,Hibernating,1,At Risk
12580,247,24,415.7,1,2,2,122,12,Hibernating,3,Churned (Lost)
12581,40,15,197.71,3,2,1,321,32,About To Sleep,1,At Risk
12582,239,22,511.36,1,2,3,123,12,Hibernating,3,Churned (Lost)
12583,3,247,7281.38,5,5,5,555,55,Champions,0,Loyal Customers
12584,4,96,2338.15,5,4,5,545,54,Champions,0,Loyal Customers
12585,234,87,2040.1,1,4,4,144,14,At Risk,3,Churned (Lost)
12586,17,11,196.94000000000003,4,1,1,411,41,Promising,0,Loyal Customers
12587,8,4,144.0,5,1,1,511,51,New Customers,0,Loyal Customers
12588,39,10,214.9,3,1,1,311,31,About To Sleep,1,At Risk
12589,29,35,646.68,4,3,3,433,43,Potential Loyalists,0,Loyal Customers
12590,211,68,9864.26,1,4,5,145,14,At Risk,3,Churned (Lost)
12591,317,26,452.85,1,2,2,122,12,Hibernating,3,Churned (Lost)
12592,92,18,437.6,2,2,2,222,22,Hibernating,1,At Risk
12593,109,21,418.1,2,2,2,222,22,Hibernating,1,At Risk
12594,38,118,3338.2200000000003,3,4,5,345,34,Loyal Customers,0,Loyal Customers
12596,51,27,618.27,3,2,3,323,32,About To Sleep,1,At Risk
12597,19,206,3811.22,4,5,5,455,45,Loyal Customers,0,Loyal Customers
12598,10,132,3023.08,5,5,5,555,55,Champions,0,Loyal Customers
12599,29,62,1032.58,4,4,4,444,44,Loyal Customers,0,Loyal Customers
12600,29,64,2599.04,4,4,5,445,44,Loyal Customers,0,Loyal Customers
12601,190,28,577.0600000000001,1,2,3,123,12,Hibernating,3,Churned (Lost)
12602,59,12,153.12,3,1,1,311,31,About To Sleep,1,At Risk
12603,22,2,739.1999999999999,4,1,3,413,41,Promising,0,Loyal Customers
12604,79,16,254.18,2,2,2,222,22,Hibernating,1,At Risk
12607,60,101,1579.51,3,4,4,344,34,Loyal Customers,0,Loyal Customers
12609,78,60,1126.85,2,4,4,244,24,At Risk,1,At Risk
12610,23,106,2099.54,4,4,5,445,44,Loyal Customers,0,Loyal Customers
12611,52,65,1193.32,3,4,4,344,34,Loyal Customers,0,Loyal Customers
12612,74,19,704.0400000000001,2,2,3,223,22,Hibernating,1,At Risk
12613,57,153,3344.38,3,5,5,355,35,Loyal Customers,0,Loyal Customers
12614,278,20,315.6,1,2,2,122,12,Hibernating,3,Churned (Lost)
12615,2,105,2291.19,5,4,5,545,54,Champions,0,Loyal Customers
12616,95,32,713.3,2,3,3,233,23,At Risk,1,At Risk
12617,29,42,355.53,4,3,2,432,43,Potential Loyalists,0,Loyal Customers
12618,22,11,177.31,4,1,1,411,41,Promising,0,Loyal Customers
12619,16,90,3641.24,4,4,5,445,44,Loyal Customers,0,Loyal Customers
12620,15,92,1339.41,4,4,4,444,44,Loyal Customers,0,Loyal Customers
12621,2,467,13689.67,5,5,5,555,55,Champions,0,Loyal Customers
12622,232,11,180.1,1,1,1,111,11,Hibernating,3,Churned (Lost)
12623,276,18,305.1,1,2,2,122,12,Hibernating,3,Churned (Lost)
12624,106,38,641.13,2,3,3,233,23,At Risk,1,At Risk
12625,212,86,2683.82,1,4,5,145,14,At Risk,3,Churned (Lost)
12626,23,294,6620.48,4,5,5,455,45,Loyal Customers,0,Loyal Customers
12627,11,230,4478.53,5,5,5,555,55,Champions,0,Loyal Customers
12628,4,41,786.46,5,3,3,533,53,Potential Loyalists,0,Loyal Customers
12630,10,64,1270.88,5,4,4,544,54,Champions,0,Loyal Customers
12631,57,31,640.5,3,3,3,333,33,Need Attention,1,At Risk
12633,59,101,2163.98,3,4,5,345,34,Loyal Customers,0,Loyal Customers
12635,90,101,1689.18,2,4,4,244,24,At Risk,1,At Risk
12637,67,390,6021.9,3,5,5,355,35,Loyal Customers,0,Loyal Customers
12638,33,39,671.69,4,3,3,433,43,Potential Loyalists,0,Loyal Customers
12639,239,22,486.1,1,2,2,122,12,Hibernating,3,Churned (Lost)
12640,24,53,1174.58,4,3,4,434,43,Potential Loyalists,0,Loyal Customers
12641,115,10,185.9,2,1,1,211,21,Hibernating,1,At Risk
12642,25,47,1013.26,4,3,4,434,43,Potential Loyalists,0,Loyal Customers
12643,128,24,3344.64,2,2,5,225,22,Hibernating,1,At Risk
12644,130,31,477.91,2,3,2,232,23,At Risk,1,At Risk
12645,34,73,1775.18,3,4,4,344,34,Loyal Customers,0,Loyal Customers
12646,5,45,1346.97,5,3,4,534,53,Potential Loyalists,0,Loyal Customers
12647,22,121,3722.82,4,4,5,445,44,Loyal Customers,0,Loyal Customers
12648,155,21,318.05,2,2,2,222,22,Hibernating,1,At Risk
12649,107,31,623.51,2,3,3,233,23,At Risk,1,At Risk
12650,3,20,314.44,5,2,2,522,52,Potential Loyalists,0,Loyal Customers
12651,335,9,114.0,1,1,1,111,11,Hibernating,3,Churned (Lost)
12652,331,48,919.98,1,3,3,133,13,At Risk,3,Churned (Lost)
12653,149,43,2209.85,2,3,5,235,23,At Risk,1,At Risk
12654,11,38,601.98,5,3,3,533,53,Potential Loyalists,0,Loyal Customers
12656,17,126,4051.17,4,5,5,455,45,Loyal Customers,0,Loyal Customers
12657,11,47,1643.18,5,3,4,534,53,Potential Loyalists,0,Loyal Customers
12658,19,36,686.05,4,3,3,433,43,Potential Loyalists,0,Loyal Customers
12659,30,5,91.68,4,1,1,411,41,Promising,0,Loyal Customers
12660,11,13,245.1,5,1,1,511,51,New Customers,0,Loyal Customers
12662,1,230,3849.78,5,5,5,555,55,Champions,0,Loyal Customers
12664,8,37,4881.88,5,3,5,535,53,Potential Loyalists,0,Loyal Customers
12665,325,3,63.0,1,1,1,111,11,Hibernating,3,Churned (Lost)
12667,58,33,620.13,3,3,3,333,33,Need Attention,1,At Risk
12668,12,161,3807.15,5,5,5,555,55,Champions,0,Loyal Customers
12669,151,101,2744.03,2,4,5,245,24,At Risk,1,At Risk
12670,10,92,2996.05,5,4,5,545,54,Champions,0,Loyal Customers
12672,330,10,225.9,1,1,1,111,11,Hibernating,3,Churned (Lost)
12673,5,42,610.52,5,3,3,533,53,Potential Loyalists,0,Loyal Customers
12674,39,83,1970.6,3,4,4,344,34,Loyal Customers,0,Loyal Customers
12676,25,45,1331.39,4,3,4,434,43,Potential Loyalists,0,Loyal Customers
12678,42,165,17628.46,3,5,5,355,35,Loyal Customers,0,Loyal Customers
12679,59,48,1113.02,3,3,4,334,33,Need Attention,1,At Risk
12680,1,52,862.81,5,3,3,533,53,Potential Loyalists,0,Loyal Customers
12681,15,638,13787.54,4,5,5,455,45,Loyal Customers,0,Loyal Customers
12682,4,525,12288.22,5,5,5,555,55,Champions,0,Loyal Customers
12683,4,344,8476.57,5,5,5,555,55,Champions,0,Loyal Customers
12684,8,105,2283.63,5,4,5,545,54,Champions,0,Loyal Customers
12685,28,157,2863.08,4,5,5,455,45,Loyal Customers,0,Loyal Customers
12686,372,7,89.14,1,1,1,111,11,Hibernating,3,Churned (Lost)
12688,114,171,4873.81,2,5,5,255,25,Can't Lose,1,At Risk
12689,26,72,1247.61,4,4,4,444,44,Loyal Customers,0,Loyal Customers
12690,206,16,389.01,1,2,2,122,12,Hibernating,3,Churned (Lost)
12691,28,32,1035.8,4,3,4,434,43,Potential Loyalists,0,Loyal Customers
12693,127,39,855.91,2,3,3,233,23,At Risk,1,At Risk
12694,70,37,869.67,3,3,3,333,33,Need Attention,1,At Risk
12695,7,27,582.1,5,2,3,523,52,Potential Loyalists,0,Loyal Customers
12697,29,41,957.59,4,3,4,434,43,Potential Loyalists,0,Loyal Customers
12700,8,268,4939.99,5,5,5,555,55,Champions,0,Loyal Customers
12701,80,53,797.71,2,3,3,233,23,At Risk,1,At Risk
12702,20,12,219.0,4,1,1,411,41,Promising,0,Loyal Customers
12703,71,21,283.55,3,2,2,322,32,About To Sleep,1,At Risk
12704,7,88,2340.84,5,4,5,545,54,Champions,0,Loyal Customers
12705,15,334,6868.29,4,5,5,455,45,Loyal Customers,0,Loyal Customers
12707,292,33,603.42,1,3,3,133,13,At Risk,3,Churned (Lost)
12708,30,157,2712.91,4,5,5,455,45,Loyal Customers,0,Loyal Customers
12709,15,208,9736.52,4,5,5,455,45,Loyal Customers,0,Loyal Customers
12710,97,77,1149.02,2,4,4,244,24,At Risk,1,At Risk
12712,29,133,4396.13,4,5,5,455,45,Loyal Customers,0,Loyal Customers
12713,1,38,848.55,5,3,3,533,53,Potential Loyalists,0,Loyal Customers
12714,9,259,4708.86,5,5,5,555,55,Champions,0,Loyal Customers
12715,106,21,353.86,2,2,2,222,22,Hibernating,1,At Risk
12716,4,69,1053.49,5,4,4,544,54,Champions,0,Loyal Customers
12717,151,55,1030.98,2,3,4,234,23,At Risk,1,At Risk
12718,71,19,238.25,3,2,1,321,32,About To Sleep,1,At Risk
12719,5,39,644.95,5,3,3,533,53,Potential Loyalists,0,Loyal Customers
12720,3,354,5781.73,5,5,5,555,55,Champions,0,Loyal Customers
12721,32,161,2656.13,4,5,5,455,45,Loyal Customers,0,Loyal Customers
12722,85,53,997.63,2,3,4,234,23,At Risk,1,At Risk
12723,4,69,725.07,5,4,3,543,54,Champions,0,Loyal Customers
12724,5,53,1031.41,5,3,4,534,53,Potential Loyalists,0,Loyal Customers
12725,371,24,427.8,1,2,2,122,12,Hibernating,3,Churned (Lost)
12726,28,124,2609.1,4,5,5,455,45,Loyal Customers,0,Loyal Customers
12727,11,139,3980.7,5,5,5,555,55,Champions,0,Loyal Customers
12728,71,46,836.33,3,3,3,333,33,Need Attention,1,At Risk
12729,114,26,453.01,2,2,2,222,22,Hibernating,1,At Risk
12731,24,274,18895.91,4,5,5,455,45,Loyal Customers,0,Loyal Customers
12732,180,12,236.26,1,1,1,111,11,Hibernating,1,At Risk
12733,234,22,383.95,1,2,2,122,12,Hibernating,3,Churned (Lost)
12734,353,4,110.4,1,1,1,111,11,Hibernating,3,Churned (Lost)
12735,315,43,779.5699999999999,1,3,3,133,13,At Risk,3,Churned (Lost)
12736,333,4,234.0,1,1,1,111,11,Hibernating,3,Churned (Lost)
12738,372,11,155.35,1,1,1,111,11,Hibernating,3,Churned (Lost)
12739,78,38,1013.04,2,3,4,234,23,At Risk,1,At Risk
12740,64,27,427.6,3,2,2,322,32,About To Sleep,1,At Risk
12743,134,134,546.43,2,5,3,253,25,Can't Lose,1,At Risk
12744,52,222,21279.29,3,5,5,355,35,Loyal Customers,0,Loyal Customers
12747,2,103,4196.01,5,4,5,545,54,Champions,0,Loyal Customers
12748,1,4595,33719.73,5,5,5,555,55,Champions,2,Super VIP (Whales)
12749,4,199,4090.88,5,5,5,555,55,Champions,0,Loyal Customers
12750,129,15,275.88,2,2,2,222,22,Hibernating,1,At Risk
12752,81,53,4366.78,2,3,5,235,23,At Risk,1,At Risk
12753,23,197,21429.39,4,5,5,455,45,Loyal Customers,0,Loyal Customers
12754,236,63,3010.74,1,4,5,145,14,At Risk,3,Churned (Lost)
12755,281,4,3811.95,1,1,5,115,11,Hibernating,3,Churned (Lost)
12756,87,4,112.07999999999998,2,1,1,211,21,Hibernating,1,At Risk
12757,16,371,7857.1,4,5,5,455,45,Loyal Customers,0,Loyal Customers
12758,117,97,2791.59,2,4,5,245,24,At Risk,1,At Risk
12759,52,95,1531.44,3,4,4,344,34,Loyal Customers,0,Loyal Customers
12762,8,69,1898.52,5,4,4,544,54,Champions,0,Loyal Customers
12763,138,18,494.08,2,2,3,223,22,Hibernating,1,At Risk
12764,317,45,1693.88,1,3,4,134,13,At Risk,3,Churned (Lost)
12766,4,310,6989.63,5,5,5,555,55,Champions,0,Loyal Customers
12769,239,32,1143.6,1,3,4,134,13,At Risk,3,Churned (Lost)
12770,211,12,1351.45,1,1,4,114,11,Hibernating,3,Churned (Lost)
12772,60,55,892.47,3,3,3,333,33,Need Attention,1,At Risk
12775,17,66,1386.04,4,4,4,444,44,Loyal Customers,0,Loyal Customers
12778,20,50,822.23,4,3,3,433,43,Potential Loyalists,0,Loyal Customers
12779,38,149,3981.36,3,5,5,355,35,Loyal Customers,0,Loyal Customers
12781,64,25,826.74,3,2,3,323,32,About To Sleep,1,At Risk
12782,5,103,2330.92,5,4,5,545,54,Champions,0,Loyal Customers
12783,2,84,2225.91,5,4,5,545,54,Champions,0,Loyal Customers
12784,9,59,574.42,5,4,3,543,54,Champions,0,Loyal Customers
12785,364,14,311.95,1,1,2,112,11,Hibernating,3,Churned (Lost)
12787,10,20,463.66,5,2,2,522,52,Potential Loyalists,0,Loyal Customers
12789,65,4,91.85,3,1,1,311,31,About To Sleep,1,At Risk
12790,192,21,324.92,1,2,2,122,12,Hibernating,3,Churned (Lost)
12791,374,2,192.6,1,1,1,111,11,Hibernating,3,Churned (Lost)
12792,257,25,400.54,1,2,2,122,12,Hibernating,3,Churned (Lost)
12793,335,24,545.48,1,2,3,123,12,Hibernating,3,Churned (Lost)
12794,53,45,860.41,3,3,3,333,33,Need Attention,1,At Risk
12795,19,14,430.48,4,1,2,412,41,Promising,0,Loyal Customers
12797,366,13,254.03,1,1,2,112,11,Hibernating,3,Churned (Lost)
12798,10,8,6977.04,5,1,5,515,51,New Customers,0,Loyal Customers
12802,187,25,427.58,1,2,2,122,12,Hibernating,3,Churned (Lost)
12808,37,28,483.65,3,2,2,322,32,About To Sleep,0,Loyal Customers
12809,178,25,489.31,2,2,2,222,22,Hibernating,1,At Risk
12811,261,31,514.85,1,3,3,133,13,At Risk,3,Churned (Lost)
12812,45,15,229.64,3,2,1,321,32,About To Sleep,1,At Risk
12814,102,2,125.92,2,1,1,211,21,Hibernating,1,At Risk
12815,148,47,1063.46,2,3,4,234,23,At Risk,1,At Risk
12816,96,29,572.2,2,2,3,223,22,Hibernating,1,At Risk
